gate_type,voltage,thickness,clock_cycle,t_rise,t_fall,t_delay
buffer,0.4,0.7,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,0.7,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,0.7,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,0.7,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,0.7,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,0.7,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,0.8,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,0.8,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,0.8,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,0.8,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,0.8,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,0.8,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,0.8,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,0.9,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,0.9,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,0.9,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,0.9,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,0.9,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,0.9,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,0.9,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,1,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,1,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,1,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,1,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,1,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,1,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,1,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,2,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,2,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,2,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,2,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,2,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,2,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,2,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,3,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,3,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,3,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,3,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,3,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,3,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,3,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,4,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,4,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,4,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,4,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,4,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,4,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,4,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,5,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,5,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,5,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,5,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,5,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,5,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,5,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,6,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,6,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,6,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,6,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,6,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,6,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,6,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,7,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,7,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,7,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,7,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,7,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,7,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,7,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,8,300,3.415357e-12,3.590568e-12,1.61233e-11
buffer,0.4,8,300,1.485681e-12,2.009167e-12,1.347828e-11
buffer,0.5,8,300,1.028211e-12,1.648675e-12,1.265565e-11
buffer,0.6,8,300,9.914089e-13,1.588661e-12,1.266439e-11
buffer,0.7,8,300,1.228272e-12,1.606791e-12,1.300784e-11
buffer,0.8,8,300,1.561779e-12,1.687372e-12,1.337191e-11
buffer,0.9,8,300,1.936916e-12,1.809922e-12,1.362831e-11
buffer,0.3,9,300,3.415357e-12,3.590568e-12,1.61233e-11
